"","_ Sie Frau Schmidt.","a) ist","b) sein","c) Sind","d) wohnt"
"","Sie _ 20 Jahre alt.","a) hat","b) bin","c) ist","d) haben"
"","Leben Sie alleine?_","a) Nein, wir sind Deutsche.","b) Ja, ich lebe alleine.","c) Ich verstehe kein Deutsch.","d) Nein, ich kenne Sie nicht."
"","An welchen Tagen _du in der Schule?","a) sein","b) bin","c) bist","d) seid"
"","_ Buch ist sehr beliebt bei mir.","a) Das","b) Die","c) Eine","d) Der"
"","Ich _  aus Mexiko.","a) wohne","b) lerne","c) bringe","d) komme"
"","_ Kinder spielen im Garten.","a) Unser ","b) Euren","c) Euer","d) Unsere"
"","Meine Freundin ist _. (Was kann man nicht sagen)","a) nett.","b) intelligent.","c) freundlich.","d) niedrig."
"","Mein Bruder besucht einen Sprachkurs. Jeden Tag hat er zwei  _ Unterricht.","a) Uhr","b) Klassen","c) Uhren","d) Stunden"
"","Wie ist _ Telefonnummer?","a) deinem","b) deiner","c) dein ","d) deine"
"","Wo leben Ihr Vater und Ihre Mutter? – Ich habe _ Eltern mehr.","a) kein","b) keine","c) keinen","d) nicht"
"","Hast du doch Geschwister in jüngerem Alter?_","a) Nein, ich habe keine.","b) Nein, ich habe keinen.","c) Ja, ich habe einen.","d) Ja, ich habe eine."
"","Wohin _ du lieber am Wochenende?","a) fährt ","b) fahre ","c) fahren ","d) fährst"
"","Christine ist Studentin.","richtig","falsch","",""
"","Christine kommt aus Berlin.","richtig","falsch","",""
"","Christine lernt Französisch.","richtig","falsch","",""
"","Christine arbeitet am Wochenende.","richtig","falsch","",""
"","Christine  hat keine Freunde.","richtig","falsch","",""
"","Um 7:30 Uhr _.","a) aufstehe ich. ","b) stehe ich auf.","c) ich aufstehe.","d) ich stehe auf."
"","_ fliegt das Flugzeug nach München ab?","a) warum","b) wann","c) wer","d) welches"
"","Herr Meier, Sie sehen aber schlecht aus. _ doch mal zum Arzt!","a) Geh","b) Gehen Sie","c) Gehst","d) Geht"
"","Hier _  du nicht hineingehen! Da ist doch ein Schild: EINTRITT VERBOTEN!","a) brauchst","b) darfst","c) möchtest","d) willst"
"","_ ist das? – Das ist Frau Beier, sie ist die Lehrerin.","a) Wer","b) Welche","c) Wo","d) Wen"
"","Gehen wir doch ins “Capitol”! Da _ ein interessanter Film!","a) geht","b) gibt","c) läuft","d) zeigt"
"","Morgen _ die Schule wieder an.","a) beginnt","b) wird beginnen","c) fing","d) fängt"
"","Ingrid besucht in Spanien _ Spanischkurs.","a) einen","b) einer","c) ein","d) eine"
"","Milch kann ja gesund sein, aber ich trinke _ Apfelsaft.","a) mehr gerne","b) lieber","c) mehrere","d) das liebste"
"","Ich finde meinen Schlüssel nicht. _ mir doch bitte deinen!","a) Geben Sie!","b) Gebt!","c) Gib!","d) Gibst!"
"","Das Mädchen ist aber schön, _ Name ist Luisa.","a) ihr","b) sein","c) dein","d) mein"
"","_ du morgen mit mir ausgehen?","a) Sollst","b) Möchtest","c) Musst","d) Gerne"
"","In _ Dorf gibt es vier Kirchen.","a) dieser","b) diesen","c) diesem","d) dieses"
"","Jonas, _ nicht so schnell!","a) isst","b) esst","c) essen","d) iss"
"","Kannst du bitte  _ Adresse schreiben?","a) deine","b) deinen","c) dein","d) deiner"
"","_ dir die Ohren. Du scheinst schlecht zu hören!","a) Wäscht","b) Waschen","c) Wäschst","d) Wasche"
"","Ich komme bestimmt, aber _ nach 9 Uhr.","a) fast","b) nur","c) ganz","d) erst"
"","_ Tag kann ich nicht in die Schule kommen.","a) An den","b) An dieser","c) An diesen","d) An diesem"
"","Ich _ Hans nicht wiedersehen. Ich bin sehr wüntend auf ihn.","a) darf","b) soll","c) mag","d) muss"
"","Und warum hast du die Schuhe dann doch nicht genommen? – Ach, die Form _ mir nicht.","a) gefällst","b) gefallen","c) gefällt","d) gefallt"
"","Es_ immer das gleiche Essen in diesem Restaurant.","a) gibt","b) hat","c) sind","d) essen"
"","Dieses Buch _ du ihm schenken!","a) sollst","b) wirst","c) willst","d) magst"
"","Katarzyna ist krank.","richtig","falsch","",""
"","Andreas ist aus Frankreich zurück.","richtig","falsch","",""
"","Sie haben in der Wohnung gefeiert","richtig","falsch","",""
"","Katarzyna trägt gerne Röcke.","richtig","falsch","",""
"","Sie hat sich auf dem Fest erkältet.","richtig","falsch","",""
"","Ich habe Bauchschmerzen. - Nehmen Sie eine _ vor jeder Mahlzeit, am besten mit etwas Wasser.","a) Verband","b) Pille","c) Verletzung","d) Wunde"
"","Mein Hals tut weh, und meine Nase juckt. Ich glaube ich bekomme  _.","a) Schmerzen.","b) Kopfschmerzen.","c) Husten.","d) Grippe."
"","Inge, der Kaffee ist fertig. – Danke, aber ich möchte jetzt _.","a) kein.","b) keine.","c) keinen.","d) keins."
"","Mein Wagen fährt sehr schnell. Wie schnell läuft _?","a) deinen.","b) deiner.","c) deine.","d) dein."
"","Er kam gegen elf Uhr und _ kurz danach wieder.","a) gegangen","b) geh","c) gehen","d) ging"
"",". _ Geschäft sind die Verkäufer sehr freundlich.","a) Am diesen","b) Auf diesem","c) In dieses","d) In diesem"
"","Schon seit 4 Tagen hat meine Mutter 38 Grad _.","a) Erkältung.","b) Fieber.","c) Grippe.","d) Husten."
"","Ich habe nur eine Erkältung, sagt der Artz. Zum Glück ist es keine gefährliche_.","a) Fieber.","b) Grippe.","c) Husten.","d) Krankheit."
"","Jens ist nur ein 1.56 cm. gross und dick 90 Kg., er ist zu schwer für seine _.","a) Kraft.","b) Gröβe.","c) Rücken.","d) Blut."
"","Sag mal, _, oder hat alles keinen Zweck mehr?_","a) hat da noch etwas gemacht","b) ist da noch etwas gemacht.","c) ist da noch etwas zu machen.","d) wird da noch etwas zu machen."
"","Tut mir leid, gestern war der letzte Termin für die Anmeldung zur Prüfung.-Oh, das habe ich icht_!","a) gekannt","b) gekonnt","c) gewusst","d) kennengelernt"
"","Ich wollte eigentlich schon um 10 Uhr gehen. Doch ich  _ länger geblieben.","a) bin","b) habe","c) hatte","d) würde"
"","Ich möchte gerne kommen,  _ ich habe leider keine Zeit.","a) und","b) dann","c) deshalb","d) aber"
"","Katarzyna ist krank.","richtig","falsch","",""
"","Von Katarzynas Stadt war es nicht weit nach Deutschland.","richtig","falsch","",""
"","Slubice ist nah bei Frankfurt am Main.","richtig","falsch","",""
"","Ihr esrter Besuch in Deutschland war toll.","richtig","falsch","",""
"","Die deutsche Sprache hat ihr nicht gefallen.","richtig","falsch","",""
"","In ihrem Abschlusszeugnis hatte sie eine gute Note in Deutsch.","richtig","falsch","",""
"","Hast du etwas von Helmut gehört? – Ja, gestern bin ich _ zufällig getroffen.","a) ihn","b) zu ihm","c) seinem","d) ihm"
"","Haben Sie schon meine Eltern begrüβt? – Ja, ich habe _ begrüβt.","a) ihnen","b) ihre","c) ihr","d) sie"
"","Sie kennt diese Strasse nicht. Kannst du _ zeigen.","a) ihn ihr","b) ihm ihr","c) sie ihr","d) sie ihm"
"","Ist das wahr, was Peter gesagt hat? – Du, ich glaube _ Wort.","a) zu ihm","b) ihm kein","c) ihm keines","d) ihn kenem"
"","Ich lade _ zu einem Kaffee ein.","a) mich","b) dich","c) du","d) sich"
"","Der Junge wäscht den Wagen. Er wäscht _.","a) ihn","b) sie","c) es","d) ihnen"
"","Monika näht ihrer Freundin einen Mantel. Sie näht _.","a) ihn ihr.","b) sie ihr.","c) ihr es.","d) sie ihn."
"","Sie trägt ein _ Klied.","a) bunten","b) bunter"," c) buntes","d) bunt"
"","Ich wünsche dir einen _ Tag.","a) gut","b) schönen","c) gutes","d) schönes"
"","Sie hat einen _ Hund.","a) braver","b) brave", "c) braven","d) braves"
"","Ute hat ein hubsches _. Nur ihre Nase ist ein bisschen zu gross.","a) Blut.","b) Gesicht.","c) Körper.","d) Haut."
"","Meine Frau hatte meine Papiere dabei, aber ­­­­_ eigenen Pass hatte sie vergessen.","a) unseren","b) Ihren","c) seinen","d) ihren"
""," _ wird es natürlich, wenn man in 1. Klasse fliegt.","a) Am teuersten","b) Das teuerste","c) Teuerstes","d) Teureres"
"","Es ist schwieriger als ich _.","a) sah.","b) gesehen.","c) dachte.","d) gedacht."
"","Ich _ in der Stadt und traf deine Mutter.","a) bin","b) war","c) ist","d) sein"
"","_ ihr schon, wohin ihr im Sommer fahrt?","a) Wissen","b) Wisst","c) Weiβt","d) Weiβ"
"","Ich hätte dir nichts _ erzählt!","a) von","b) davon","c) dies","d) daran"
"","Und Sie wollen sich ein neues Auto kaufen? – Ja, ich denke _ ein neues benzinsparendes Modell.","a) auf","b) von","c) aus","d) an"
"","Hast du dich _ das Geschenk gefreut?"," a) von","b) für","c) wegen","d) über"
"","Da bist du ja endlich! Wo warst du denn so lange?  -_."," a) Ich habe beim Friseur zwei Stunden warten müssen","b) Ich muss beim Friseur zwei Stunden warten.","c) Ich soll beim Friseur zwei Stunden warten.","d) Ich werde beim Friseur zwei Stunden warten."
"","Tu doch bitte nicht so, _ du das nicht gewusst hättest!","a) als","b) als ob","c) obwohl","d) wie"
"","Wir _ ihn lieber nicht einladen.","a) warenb)","hätte","c) sollten","d) wären"
"","Der Verkehr auf der Autobahn München-Stuttgart läuft wieder normal. Die Bauarbeiten _ bereits seit einer Woche abgeschlossen.","a) würden","b) haben","c) sind","d) wollen"
""," Wann _ du nach Florida reisen?","a) werdet","b) bist","c) wurde","d) wirst"
"","Der Film im “Tivoli” war leider _ lustig _ interessant.","a) entweder... oder...","b) oder... oder...",c) weder... noch...","d) zwar... aber... "
"","Ich habe _ noch keinen Hunger, _ ich esse trotzdem eine Kleinigkeit.","a) und... aber","b) entweder... oder","c) zwar... aber","d) weder... noch"
"","Weil ich so unter diesem Klima leide,  hat der Arzt mir _, im Urlaub ins Gebirge zu fahren.","a) geglaubt","b) genannt","c) geraten","d) gesagt"
"","Ein so schwerer Unfall hätte sofort der Versicherung gemeldet _ müssen.","a) haben","b) gewesen","c) werden,"d) worden"
"","Wiel wir kein Geld hatten, _."," a) in Urlaub fahren konnten wir letztes Jahr nicht.","b) konnten wir letztes Jahr nicht in Urlaub fahren.","c) letztes Jahr konnten wir nicht in Urlaub fahren.","d) wir konnten letztes Jahr nicht in Urlaub fahren."
"","Er hatte kein Geld für die Fahrkarte? Er hätte sich doch das Geld leihen _.","a) gelassen.","b) gekonnt.","c) können.","d) lassen."
"","Einen Menschen, _ dich nicht liebt, solltest du auch nicht heiraten.","a) den","b) der","c) wer","d) wo"
"","Es beeindruckt mich, dass so viele Leute in den kleinen Wagen _.","a) passen.","b) passt.","c) passte.","d) gepasst."
"","Sie hat mir fest versprochen, dass _.","a) in Zukunft wird sie nicht mehr zu spät kommen.","b) sie in Zukunft nicht mehr zu spät kommen wird.","c) wird sie in Zukunft nicht mehr zu spät kommen.","d) zu spät kommen wird sie in Zukunft nicht mehr."
"","_, wie spät es ist?","a) Kennen Sie","b) Weiss sie","c) Können Sie","d) Wissen Sie"
"","Wen habt ihr denn zu eurer Hochzeit eingeladen? - Nur Leute, _ wir schon länger kennen.","a) das","b) die","c) was","d) welchen"
"","Kannst du mir sagen, _du die Schlüssel gefunden hast?","a) wo","b) woher","c) wovon","d) wozu"
"","Er ist heute schon um 6 Uhr gegangen, _ er hatte sich mit einer neuen Freundin verabredet.","a) denn","b) deshalb","c) wiel","d) weshalb"
"","Ich weiβ nicht genau, ob _.","a) die Banken hier auch samstags offen sind.","b) die Baken sind hier auch samstags offen.","c) hier sind die Banken auch samstags offen.","d) sind die Banken hier auch samstags offen."
"","Es muss immer wieder klar _, dass das Rauchen gefährlich für die Gesundheit ist.","a) gesagt hat","b)gesagt wird","c) gesagt sein","d) gesagt werden"
"","Nachdem er die Schule _ , begann er eine Lehre als Bankkaufmann.","a) verlassen","b) verliess","c) verlässt","d) verlassen wird"
"","Vorsicht _ dem Hund.","a) nach","b) für","c) von","d) vor"
"","Ich habe _ einem halben Jahr angefangen, Englisch zu lernen.","a) auf","b) mit","c) von","d) vor"
"","Es _ ihn, dass du immer zu spät kommst.","a) freut","b) hasst","c) mag","d) stört"
"","Andreas träumt immer _ einem Leben in der Schweiz.","a) von","b) mit","c) an","d) über"
"","Er schrieb einen Brief, während das Radio _.","a) läuft","b) lief","c) laufen wird","d) gelaufen"
"","Er war im Jahr 1890 geboren und _ im Jahr 1940.","a) wird sterben","b) starbst","c) ist gestorbend)","starb"
"","Ich muss ins Krankenhaus _ eines Magengeschwürs.","a) für","b) mit","c) wegen","d) von"
"","Er _ nicht, was der Lehrer sagte."a) bestand","b) verstand","c) gestand","d) besteht"
"","Ich glaube nicht, dass er den Raub _.","a) vergangen ist.","b) gegangen ist.","c) begangen hat.","d) ergangen ist."
"","Ist Ute schon da? – Moment mal, ich höre sie gerade _.","a) gekommen.","b) kommen.","c) kommt.","d) zu kommen."
"","Der Friedhof wird jeden Tag _.","a) gewaschen.","b) gesaubert.","c) gespült.","d) gesaugt."
"","Ich würde dir helfen, wenn ich _.","a) kann.","b) könntest.","c) kannst.","d) könnte."
"","Die Arbeitnehmer müssen flexible sein.","richtig","falsch","",""
"","Viele Berufe gibt es bald nicht mehr.","richtig","falsch","",""
"","Es gibt viele neue Berufe.","richtig","falsch","",""
"","Wer am schnellsten eine Arbeit machen kann, bekommt den Auftrag.","richtig","falsch","",""
"","Zusammenarbeit mit anderen ist notwendig.","richtig","falsch","",""